"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"02666","Truro, MA (PO Boxes)",828,1 
"02667","Wellfleet, MA",2580,1 
"02668","Barnstable Town, MA",3278,1 
"02669","West Chatham, MA",285,1 
"02670","West Dennis, MA",1307,1 
"02671","Northwest Harwich, MA",1023,1 
"02672","Barnstable Town, MA",180,1 
"02673","West Yarmouth, MA",8402,1 
"02675","Yarmouth Port, MA",6577,1 
"02702","Assonet, MA",4125,1 
"02703","Attleboro, MA",43593,1 
"02713","Cuttyhunk, MA (PO Boxes)",52,1 
"02715","Dighton, MA",3123,1 
"02717","East Freetown, MA",4745,1 
"02718","Taunton, MA",6655,1 
"02719","Fairhaven, MA",15873,1 
"02720","Fall River, MA",30287,1 
"02721","Fall River, MA",26290,1 
"02723","Fall River, MA",14767,1 
"02724","Fall River, MA",16908,1 
"02725","Somerset, MA",2631,1 
"02726","Somerset, MA",15534,1 
"02738","Marion, MA",4907,1 
"02739","Mattapoisett, MA",6045,1 
"02740","New Bedford, MA",43087,1 
"02743","Acushnet, MA",10307,1 
"02744","New Bedford, MA",11900,1 
"02745","New Bedford, MA",24576,1 
"02746","New Bedford, MA",15342,1 
"02747","North Dartmouth, MA",22927,1 
"02748","South Dartmouth, MA",11442,1 
"02760","North Attleboro, MA",26739,1 
"02762","Plainville, MA",8264,1 
"02763","Attleboro Falls, MA",1973,1 
"02764","North Dighton, MA",3988,1 
"02766","Norton, MA",19031,1 
"02767","Raynham, MA",13566,1 
"02769","Rehoboth, MA",11608,1 
"02770","Rochester, MA",5093,1 
"02771","Seekonk, MA",13708,1 
"02777","Swansea, MA",15840,1 
"02779","Berkley, MA",6411,1 
"02780","Taunton, MA",49036,1 
"02790","Westport, MA",15717,1 
"02791","Westport Point, MA (PO Boxes)",246,1 
"02802","Albion, RI (PO Boxes)",786,1 
"02804","Ashaway, RI",2607,1 
"02806","Barrington, RI",16310,1 
"02807","Block Island, RI (PO Boxes)",1051,1 
"02808","Bradford, RI",2401,1 
"02809","Bristol, RI",22938,1 
"02812","Carolina, RI",1497,1 
"02813","Charlestown, RI",7831,1 
"02814","Chepachet, RI",7496,1 
"02815","Clayville, RI",278,1 
"02816","Coventry, RI",32611,1 
"02817","West Greenwich, RI",6135,1 
"02818","East Greenwich, RI",18082,1 
"02822","Exeter, RI",6111,1 
"02825","Foster, RI",5377,1 
"02826","Glendale, RI (PO Boxes)",791,1 
"02827","Greene, RI",2172,1 
"02828","Greenville, RI",7704,1 
"02830","Harrisville, RI",5976,1 
"02831","Hope, RI",3515,1 
"02832","Hope Valley, RI",4608,1 
"02833","Hopkinton, RI",784,1 
"02835","Jamestown, RI",5405,1 
"02836","Kenyon, RI",136,1 
"02837","Little Compton, RI",3492,1 
"02838","Manville, RI",3400,1 
"02839","Mapleville, RI",1902,1 
"02840","Newport, RI",23335,1 
"02841","Newport, RI",1392,1 
"02842","Newport East, RI",16095,1 
"02852","North Kingstown, RI",22551,1 
"02857","North Scituate, RI",8412,1 
"02858","Oakland, RI",570,1 
"02859","Pascoag, RI",6738,1 
"02860","Pawtucket, RI",45199,1 
"02861","Pawtucket, RI",26178,1 
"02863","Central Falls, RI",19385,1 
"02864","Cumberland, RI",33396,1 
"02865","Lincoln, RI",16951,1 
"02871","Portsmouth, RI",17171,1 
"02872","Prudence Island, RI",218,1 
"02873","Rockville, RI (PO Boxes)",235,1 
"02874","Saunderstown, RI",5860,1 
"02875","Shannock, RI",307,1 
"02876","Slatersville, RI",430,1 
"02878","Tiverton, RI",15780,1 
"02879","Wakefield, RI",20371,1 
"02881","Kingston, RI",7841,1 
"02882","Narragansett, RI",14184,1 
"02885","Warren, RI",10627,1 
"02886","Warwick, RI",29269,1 
"02888","Warwick, RI",19912,1 
"02889","Warwick, RI",28217,1 
"02891","Westerly, RI",21198,1 
"02892","West Kingston, RI",4988,1 
"02893","West Warwick, RI",29630,1 
"02894","Wood River Junction, RI",722,1 
"02895","Woonsocket, RI",41186,1 
"02896","North Smithfield, RI",11537,1 
"02898","Wyoming, RI",1696,1 
"02903","Providence, RI",10780,1 
"02904","Providence, RI",29359,1 
"02905","Providence, RI",25223,1 
"02906","Providence, RI",28387,1 
"02907","Providence, RI",27445,1 
"02908","Providence, RI",37467,1 
"02909","Providence, RI",43540,1 
"02910","Cranston, RI",21000,1 
"02911","North Providence, RI",15574,1 
"02912","Providence, RI",1370,1 
"02914","East Providence, RI",21963,1 
"02915","East Providence, RI",16897,1 
"02916","East Providence, RI",8139,1 
"02917","Smithfield, RI",13762,1 
"02919","Johnston, RI",28790,1 
"02920","Cranston, RI",37547,1 
"02921","Cranston, RI",12361,1 
"03031","Amherst, NH",11247,1 
"03032","Auburn, NH",4953,1 
"03033","Brookline, NH",4987,1 
"03034","Candia, NH",3970,1 
"03036","Chester, NH",4782,1 
"03037","Deerfield, NH",4219,1 
"03038","Derry, NH",33269,1 
"03042","Epping, NH",6341,1 
"03043","Francestown, NH",1573,1 
"03044","Fremont, NH",4263,1 
"03045","Goffstown, NH",13560,1 
"03046","Dunbarton, NH",2758,1 
"03047","Greenfield, NH",1767,1 
"03048","Greenville, NH",3426,1 
"03049","Hollis, NH",7688,1 
"03051","Hudson, NH",24480,1 
"03052","Litchfield, NH",8258,1 
"03053","Londonderry, NH",23957,1 
"03054","Merrimack, NH",25477,1 
"03055","Milford, NH",15086,1 
"03057","Mont Vernon, NH",2500,1 
"03060","Nashua, NH",29357,1 
"03062","Nashua, NH",26694,1 
"03063","Nashua, NH",16216,1 
"03064","Nashua, NH",14227,1 
"03070","New Boston, NH",5254,1 
"03071","New Ipswich, NH",5109,1 
"03076","Pelham, NH",12897,1 
"03077","Raymond, NH",10155,1 
"03079","Salem, NH",28776,1 
"03082","Lyndeborough, NH",1615,1 
"03084","Temple, NH",1366,1 
"03086","Wilton, NH",3728,1 
"03087","Windham, NH",13592,1 
"03101","Manchester, NH",3049,1 
"03102","Manchester, NH",31096,1 
"03103","Manchester, NH",36476,1 
"03104","Manchester, NH",32798,1 
"03106","South Hooksett, NH",13374,1 
"03109","Manchester, NH",10314,1 
"03110","Bedford, NH",21203,1 
"03215","Waterville Valley, NH",247,1 
"03216","Andover, NH",2159,1 
"03217","Ashland, NH",2076,1 
"03218","Barnstead, NH (PO Boxes)",960,1 
"03220","Belmont, NH",7430,1 
"03221","Bradford, NH",2091,1 
"03222","Bristol, NH",5353,1 
"03223","Campton, NH",3427,1 
"03224","Canterbury, NH",2318,1 
"03225","Center Barnstead, NH",3660,1 
"03226","Center Harbor, NH",1117,1 
"03227","Center Sandwich, NH",925,1 
"03229","Contoocook, NH",5589,1 
"03230","Danbury, NH",1231,1 
"03231","East Andover, NH (PO Boxes)",202,1 
"03233","Elkins, NH (PO Boxes)",115,1 
"03234","Epsom, NH",4572,1 
"03235","Franklin, NH",8562,1 
"03237","Gilmanton, NH",2254,1 
"03238","Glencliff, NH (PO Boxes)",75,1 
"03240","Grafton, NH",1340,1 
"03241","Hebron, NH",876,1 
"03242","Henniker, NH",4836,1 
"03243","Hill, NH",1085,1 
"03244","Hillsborough, NH",8092,1 
"03245","Holderness, NH (PO Boxes)",2027,1 
"03246","Laconia, NH",15963,1 
